iter	Passed	Remaining
0	148	148631
1	149	74592
2	150	49887
3	150	37527
4	151	30115
5	151	25168
6	152	21635
7	153	18984
8	153	16921
9	154	15271
10	154	13921
11	155	12796
12	156	11846
13	156	11031
14	157	10325
15	157	9705
16	158	9159
17	158	8672
18	159	8236
19	160	7840
20	160	7482
21	161	7158
22	161	6863
23	162	6591
24	162	6341
25	163	6110
26	163	5895
27	164	5696
28	164	5511
29	165	5338
30	165	5176
31	166	5024
32	166	4881
33	167	4746
34	167	4620
35	168	4502
36	168	4389
37	169	4282
38	169	4180
39	170	4083
40	170	3991
41	171	3904
42	171	3820
43	172	3741
44	172	3664
45	173	3591
46	173	3521
47	174	3454
48	174	3390
49	175	3329
50	175	3271
51	176	3214
52	176	3160
53	177	3107
54	177	3056
55	178	3006
56	178	2958
57	179	2912
58	179	2868
59	180	2824
60	180	2783
61	181	2742
62	181	2703
63	182	2666
64	182	2629
65	183	2593
66	183	2558
67	184	2522
68	184	2491
69	185	2460
70	185	2431
71	186	2402
72	187	2374
73	187	2346
74	188	2319
75	188	2292
76	189	2265
77	189	2240
78	190	2215
79	190	2191
80	191	2167
81	191	2144
82	192	2121
83	192	2099
84	192	2076
85	193	2055
86	193	2032
87	194	2012
88	194	1993
89	195	1973
90	195	1955
91	196	1936
92	196	1918
93	197	1900
94	197	1883
95	198	1866
96	198	1849
97	199	1833
98	199	1817
99	200	1801
100	200	1785
101	200	1768
102	201	1754
103	201	1739
104	202	1725
105	202	1711
106	203	1697
107	203	1683
108	204	1670
109	204	1657
110	205	1645
111	205	1632
112	206	1620
113	206	1607
114	207	1595
115	207	1583
116	208	1571
117	208	1560
118	209	1548
119	209	1537
120	210	1526
121	210	1515
122	210	1503
123	211	1493
124	211	1483
125	212	1472
126	212	1463
127	213	1452
128	213	1443
129	214	1433
130	214	1424
131	215	1415
132	215	1406
133	216	1397
134	216	1388
135	217	1379
136	217	1371
137	218	1362
138	218	1353
139	219	1345
140	219	1337
141	220	1329
142	220	1322
143	221	1314
144	221	1306
145	222	1299
146	222	1291
147	223	1284
148	223	1276
149	224	1269
150	224	1262
151	225	1255
152	225	1248
153	225	1241
154	226	1234
155	226	1227
156	227	1221
