iter	Passed	Remaining
0	135	135553
1	136	68051
2	137	45538
3	137	34268
4	138	27509
5	138	23005
6	139	19784
7	140	17365
8	140	15484
9	141	13980
10	141	12747
11	142	11719
12	142	10844
13	143	10096
14	143	9447
15	144	8880
16	144	8378
17	145	7931
18	145	7532
19	146	7173
20	146	6848
21	147	6552
22	147	6282
23	148	6035
24	148	5808
25	149	5600
26	150	5411
27	150	5230
28	151	5061
29	151	4904
30	152	4756
31	152	4618
32	153	4488
33	153	4366
34	154	4250
35	154	4142
36	155	4039
37	155	3942
38	156	3849
39	156	3761
40	157	3677
41	157	3599
42	158	3524
43	158	3451
44	159	3381
45	159	3315
46	160	3252
47	160	3191
48	161	3133
49	161	3077
50	162	3023
51	163	2971
52	163	2922
53	164	2876
54	164	2829
55	165	2784
56	165	2741
57	166	2699
58	166	2659
59	167	2619
60	167	2581
61	168	2544
62	168	2508
63	169	2474
64	169	2440
65	170	2407
66	170	2376
67	171	2345
68	171	2316
69	172	2286
70	172	2259
71	173	2231
72	173	2205
73	174	2178
74	174	2153
75	175	2128
76	175	2104
77	176	2081
78	176	2058
79	177	2037
80	177	2015
81	178	1995
82	178	1973
83	179	1953
84	179	1933
85	180	1914
86	180	1895
87	181	1877
88	181	1859
89	182	1841
90	182	1823
91	183	1806
92	183	1790
93	184	1774
94	184	1757
95	185	1742
96	185	1726
97	186	1712
98	186	1698
99	187	1684
100	187	1670
101	188	1657
102	188	1643
103	189	1630
104	189	1617
105	190	1605
106	190	1593
107	191	1581
108	191	1569
109	192	1558
110	193	1547
111	193	1536
112	194	1525
113	194	1514
114	195	1503
115	195	1492
116	196	1481
117	196	1471
118	197	1462
119	198	1452
120	198	1442
121	199	1432
122	199	1422
123	200	1414
124	200	1404
125	201	1395
126	201	1386
127	202	1377
128	202	1368
129	203	1359
130	203	1351
131	204	1342
132	204	1335
133	205	1327
134	206	1320
135	206	1312
136	207	1304
137	207	1297
138	208	1290
139	208	1283
140	209	1275
141	209	1267
142	210	1259
143	210	1252
144	211	1245
145	211	1238
146	212	1231
147	212	1224
148	213	1217
149	213	1210
150	214	1204
151	214	1198
152	215	1191
153	215	1185
154	216	1178
155	216	1172
156	217	1166
157	217	1160
158	218	1154
159	218	1148
160	219	1141
161	219	1135
162	219	1129
163	220	1123
164	220	1118
165	221	1112
166	221	1107
167	222	1102
168	223	1096
169	223	1091
170	224	1086
171	224	1080
172	225	1075
173	225	1070
174	226	1065
175	226	1060
176	227	1055
177	227	1050
178	227	1045
179	228	1040
180	228	1036
181	229	1031
182	229	1026
183	230	1021
184	230	1017
185	231	1012
186	231	1008
187	232	1003
188	232	999
189	233	994
190	233	990
191	234	986
192	234	981
193	235	977
194	235	973
195	236	969
196	236	965
197	237	961
198	237	957
199	238	953
200	238	949
201	239	945
202	239	941
203	240	937
204	240	934
205	241	930
206	241	926
207	242	922
208	242	919
209	243	915
210	243	911
211	244	908
212	244	904
213	245	901
214	245	897
215	246	894
216	246	890
217	247	887
218	247	883
219	248	880
220	248	876
221	249	873
222	249	870
223	250	866
224	250	863
225	251	860
226	251	857
227	252	854
228	252	851
229	253	848
230	253	845
231	254	842
232	254	838
233	255	835
234	255	832
235	256	829
236	256	826
237	257	824
238	257	821
239	258	818
240	258	815
241	259	812
242	259	809
243	260	806
244	260	804
245	261	801
246	261	798
247	262	795
248	262	792
249	263	789
250	263	787
251	264	784
252	264	781
253	265	779
254	265	776
255	266	773
256	266	771
257	267	768
258	267	766
259	268	763
260	268	761
261	269	758
262	269	756
263	270	753
264	270	751
265	271	748
266	271	746
267	272	743
268	272	741
269	273	738
270	273	736
271	274	734
272	274	731
273	275	729
274	275	726
275	276	724
276	276	722
277	277	719
278	277	717
279	278	715
280	278	712
281	279	710
282	279	708
283	280	706
284	280	703
285	281	701
286	281	699
287	282	697
288	282	695
289	283	693
290	283	691
291	284	689
292	285	688
293	285	686
294	286	684
295	286	682
296	287	680
297	287	677
298	288	675
299	288	673
300	289	671
301	289	669
302	290	667
303	290	665
304	291	663
305	291	661
306	292	659
307	292	657
308	293	655
309	293	653
310	294	651
311	294	649
312	295	647
313	295	646
314	296	644
315	296	642
316	297	640
317	297	638
318	298	636
319	298	634
320	299	633
321	299	631
322	300	629
323	300	627
324	301	625
325	301	623
326	302	622
327	302	620
328	303	618
329	303	616
330	304	614
331	304	613
332	305	611
333	305	609
334	306	607
335	306	606
336	307	604
337	307	602
338	308	600
339	308	599
340	309	597
341	309	595
342	310	593
343	310	592
344	311	590
345	311	589
346	312	587
347	312	585
348	313	584
349	313	582
350	314	580
351	314	579
352	315	577
353	315	575
354	315	574
355	316	572
356	316	570
357	317	569
358	317	567
359	318	566
360	318	564
361	319	562
362	319	561
363	320	559
364	320	558
365	321	556
366	321	555
367	322	553
368	322	552
369	323	550
370	323	549
371	324	547
372	324	546
373	325	544
374	326	543
375	326	541
376	327	540
377	327	538
378	328	537
379	328	535
380	328	534
381	329	533
382	329	531
383	330	530
384	330	528
385	331	527
386	331	525
387	332	524
388	332	522
389	333	521
390	333	520
391	334	518
392	334	517
393	335	515
394	335	514
395	336	513
396	336	511
397	337	510
398	337	508
399	338	507
400	338	506
401	339	504
402	339	503
403	340	502
404	341	501
405	341	499
406	342	498
407	342	496
408	342	495
409	343	494
410	343	492
411	344	491
412	344	490
413	345	488
414	345	487
415	346	486
416	346	484
417	347	483
418	347	482
419	348	480
420	348	479
421	349	478
422	349	477
423	350	475
424	350	474
425	351	473
426	351	472
427	352	470
428	352	469
429	353	468
430	353	466
431	354	465
432	354	464
433	355	463
434	355	462
435	356	460
436	356	459
437	357	458
438	358	457
439	358	456
440	359	455
441	359	454
442	360	452
443	360	451
444	361	450
445	361	449
446	362	448
447	362	446
448	363	445
449	363	444
450	364	443
451	364	442
452	365	440
453	365	439
454	366	438
455	366	437
456	367	436
457	367	435
458	368	433
459	368	432
460	369	431
461	369	430
462	370	429
463	370	428
464	371	427
465	371	426
466	372	424
467	372	423
468	373	422
469	373	421
470	374	420
471	374	419
472	375	417
473	375	416
474	376	415
475	376	414
476	377	413
477	377	412
478	378	411
479	378	410
480	378	408
481	379	407
482	379	406
483	380	405
484	380	404
485	381	403
486	381	402
487	382	401
488	382	400
489	383	399
490	384	398
491	384	397
492	385	396
493	385	395
494	386	393
495	386	392
496	387	391
497	387	390
498	388	389
499	388	388
500	389	387
501	389	386
502	390	385
503	390	384
504	390	383
505	391	382
506	391	381
507	392	380
508	392	379
509	393	377
510	393	376
511	394	375
512	394	374
513	395	373
514	395	372
515	396	371
516	396	370
517	397	369
518	397	368
519	398	367
520	399	366
521	399	365
522	400	364
523	400	363
524	401	362
525	401	361
526	401	360
527	402	359
528	403	358
529	403	357
530	403	356
531	404	355
532	404	354
533	405	353
534	405	352
535	406	351
536	406	350
537	407	349
538	407	348
539	408	347
540	408	346
541	409	345
542	409	344
543	410	343
544	410	342
545	411	341
546	411	341
547	412	340
548	412	339
549	413	338
550	413	337
551	414	336
552	414	335
553	415	334
554	415	333
555	416	332
556	416	331
557	417	330
558	417	329
559	418	328
560	418	327
561	419	326
562	419	325
563	420	324
564	420	323
565	421	322
566	421	322
567	422	321
568	422	320
569	423	319
570	423	318
571	424	317
572	424	316
573	425	315
574	425	314
575	426	313
576	426	312
577	427	311
578	427	311
579	428	310
580	428	309
581	429	308
582	429	307
583	430	306
584	430	305
585	431	304
586	431	303
587	432	302
588	432	302
589	433	301
590	433	300
591	434	299
592	434	298
593	435	297
594	435	296
595	436	295
596	436	294
597	437	293
598	437	293
599	438	292
600	438	291
601	439	290
602	440	289
603	440	288
604	441	287
605	441	287
606	442	286
607	442	285
608	443	284
609	443	283
610	444	283
611	445	282
612	445	281
613	446	280
614	446	279
615	447	278
616	448	278
617	448	277
618	449	276
619	449	275
620	450	274
621	450	273
622	451	273
623	451	272
624	452	271
625	452	270
626	453	269
627	453	268
628	454	268
629	454	267
630	455	266
631	455	265
632	456	264
633	457	263
634	457	263
635	458	262
636	458	261
637	459	260
638	459	259
639	460	258
640	460	258
641	461	257
642	461	256
643	462	255
644	463	254
645	463	254
